name,Postcode,Type,Provider,OrganisationType,Latitude,Longitude
Apto EACH,3136,Home Care,Apto Group Pty Ltd,Private Incorporated Body,-37.803836,145.265999
Apto EACH - SMR,3136,Home Care,Apto Group Pty Ltd,Private Incorporated Body,-37.803836,145.265999
Apto Neighbourhood CACP - SMR,3136,Home Care,Apto Group Pty Ltd,Private Incorporated Body,-37.803836,145.265999
Arcare Home Packages - Melbourne Western Region,3192,Home Care,Arcare Pty Ltd,Private Incorporated Body,-37.96762608,145.075935
Arcare EACH-D Packages (Southern Metro),3192,Home Care,Arcare Pty Ltd,Private Incorporated Body,-37.96762608,145.075935
Arcare Home Packages - Melbourne Eastern Region,3192,Home Care,Arcare Pty Ltd,Private Incorporated Body,-37.96762608,145.075935
Arcare Home Packages - Melbourne Southern Region,3192,Home Care,Arcare Pty Ltd,Private Incorporated Body,-37.96762608,145.075935
Australian Croatian Community Services,3011,Home Care,Australian Croatian Community Services Inc,Community Based,-37.80673537,144.9029024
Australian Croatian Community Services (Eastern Region),3175,Home Care,Australian Croatian Community Services Inc,Community Based,-37.98759699,145.2158488
Australian Croatian Community Services (Southern Region),3175,Home Care,Australian Croatian Community Services Inc,Community Based,-37.98759699,145.2158488
Australian Home Care - Eastern Metro,3150,Home Care,Australian Home Care Services Pty Ltd,Private Incorporated Body,-37.90455305,145.1638222
Australian Home Care - Southern Metro,3150,Home Care,Australian Home Care Services Pty Ltd,Private Incorporated Body,-37.90455305,145.1638222
Australian Multicultural Community Services,3012,Home Care,Australian Multicultural Community Services Inc,Community Based,-37.77877161,144.8755251
Australian Multicultural Community Services,3012,Home Care,Australian Multicultural Community Services Inc,Community Based,-37.77877161,144.8755251
Australian Multicultural Community Services,3012,Home Care,Australian Multicultural Community Services Inc,Community Based,-37.77877161,144.8755251
Australian Multicultural Community Services,3012,Home Care,Australian Multicultural Community Services Inc,Community Based,-37.77877161,144.8755251
Australian Unity Community Care Eastern Metro EACH,3137,Home Care,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,-37.8056764,145.3098247
SCC (VIC) - Hume HCP2,3630,Home Care,Southern Cross Care (VIC),Religious,-36.362197,145.404367
SCC (VIC) - Hume HCP4,3630,Home Care,Southern Cross Care (VIC),Religious,-36.362197,145.404367
Ballan District Health & Care,3342,Home Care,Ballan & District Soldiers' Memorial Bush Nursing Hospital & Hostel Inc,Community Based,-37.59918085,144.2226728
Ballan District Health & Care - EACH,3342,Home Care,Ballan & District Soldiers' Memorial Bush Nursing Hospital & Hostel Inc,Community Based,-37.59918085,144.2226728
Baptcare - Eastern HCP 3,3134,Home Care,Baptcare Ltd,Religious,-37.81605408,145.2237876
Baptcare - Hume HCP 4,3083,Home Care,Baptcare Ltd,Religious,-37.683701,145.069212
Baptcare - Loddon HCP 2,3083,Home Care,Baptcare Ltd,Religious,-37.683701,145.069212
Baptcare - Northern HCP 2,3083,Home Care,Baptcare Ltd,Religious,-37.68357729,145.0695029
Baptcare - Northern HCP 1,3083,Home Care,Baptcare Ltd,Religious,-37.68357729,145.0695029
Baptcare - Southern HCP 2,3175,Home Care,Baptcare Ltd,Religious,-37.985859,145.212851
Baptcare - Eastern HCP 2,3134,Home Care,Baptcare Ltd,Religious,-37.81605408,145.2237876
Baptcare - Western HCP 2,3020,Home Care,Baptcare Ltd,Religious,-37.7849206,144.8311425
Baptcare - Barwon HCP 2,3214,Home Care,Baptcare Ltd,Religious,-38.071874,144.341068
Baptcare - Gippsland HCP 2,3950,Home Care,Baptcare Ltd,Religious,-38.432645,145.824121
Baptcare - Hume HCP 2,3083,Home Care,Baptcare Ltd,Religious,-37.683701,145.069212
Baptcare - Northern HCP 4,3083,Home Care,Baptcare Ltd,Religious,-37.68357729,145.0695029
Village Baxter Care packages,3199,Home Care,Baptist Village Baxter Ltd,Religious,-38.17495539,145.1444955
Baptcare - Barwon HCP 4,3214,Home Care,Baptcare Ltd,Religious,-38.071874,144.341068
Baptcare - Western HCP 4,3020,Home Care,Baptcare Ltd,Religious,-37.7849206,144.8311425
Bellarine Community Health Inc - HCP,3223,Home Care,Bellarine Community Health Ltd,Community Based,-38.27328875,144.6185979
Benetas Dementia EACH Southern,3161,Home Care,Anglican Aged Care Services Group,Religious,-37.865573,145.023296
Benetas EACH Dementia Eastern,3132,Home Care,Anglican Aged Care Services Group,Religious,-37.818291,145.193999
Benetas EACH Eastern,3132,Home Care,Anglican Aged Care Services Group,Religious,-37.818291,145.193999
Benetas EACH Gippsland,3909,Home Care,Anglican Aged Care Services Group,Religious,-37.88092344,147.9859014
Benetas EACH Grampians,3392,Home Care,Anglican Aged Care Services Group,Religious,-36.45797181,142.5947669
Benetas EACH Hume,3629,Home Care,Anglican Aged Care Services Group,Religious,-36.39482663,145.3602938
Benetas EACH Northern,3079,Home Care,Anglican Aged Care Services Group,Religious,-37.771199,145.049006
Benetas EACH Southern,3161,Home Care,Anglican Aged Care Services Group,Religious,-37.865573,145.023296
Benetas EACH Western,3019,Home Care,Anglican Aged Care Services Group,Religious,-37.7906728,144.8621279
Benetas EACHD Western,3019,Home Care,Anglican Aged Care Services Group,Religious,-37.7906728,144.8621279
BHCG Case Management Services,3550,Home Care,Bendigo Health Care Group,State Government,-36.74925273,144.284141
BHCG Case Management Services,3550,Home Care,Bendigo Health Care Group,State Government,-36.74925273,144.284141
BHCG Case Management Services,3550,Home Care,Bendigo Health Care Group,State Government,-36.74925273,144.284141
BlueCross CACPs Eastern,3123,Home Care,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.846031,145.044807
BlueCross CACPs Northern,3146,Home Care,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.845708,145.044692
BlueCross CACPs Southern,3146,Home Care,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.845708,145.044692
BlueCross EACH Eastern,3123,Home Care,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.845708,145.044692
BlueCross EACH Southern,3123,Home Care,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.845708,145.044692
BlueCross EACHD Southern,3123,Home Care,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,-37.845708,145.044692
Brimbank City Council Community Aged Care Packages Program,3020,Home Care,Brimbank City Council,Local Government,-37.7837476,144.8377397
Brotherhood Community Care (Northern),3072,Home Care,Brotherhood of St Laurence,Religious,-37.73675203,145.0040015
Brotherhood Community Care (Northern),3072,Home Care,Brotherhood of St Laurence,Religious,-37.73675203,145.0040015
Brotherhood Community Care EACH Packages,3199,Home Care,Brotherhood of St Laurence,Religious,-38.129834,145.12572
Brotherhood Community Care Packages (Southern),3199,Home Care,Brotherhood of St Laurence,Religious,-38.129834,145.12572
Brotherhood Community Care Packages (Southern) - EACH Dementia,3199,Home Care,Brotherhood of St Laurence,Religious,-38.129834,145.12572
Brotherhood Community Care Western Metro Region,3072,Home Care,Brotherhood of St Laurence,Religious,-37.73675203,145.0040015
Brotherhood Community Care-Housing Linked Packages,3072,Home Care,Brotherhood of St Laurence,Religious,-37.73675203,145.0040015
Brotherhood Of St Laurence - Peninsula,3199,Home Care,Brotherhood of St Laurence,Religious,-38.129834,145.12572
Brotherhood Of St Laurence Housing Linked - Northern Metro,3072,Home Care,Brotherhood of St Laurence,Religious,-37.73675203,145.0040015
Brotherhood of St Laurence Northern Metro EACHD,3072,Home Care,Brotherhood of St Laurence,Religious,-37.73675203,145.0040015
Northern Health Home Care Packages - Level 2,3083,Home Care,Northern Health,State Government,-37.70096938,145.0576404
Northern Health Home Care Packages - Level 4,3083,Home Care,Northern Health,State Government,-37.70096938,145.0576404
CACP Barwon South Western,3218,Home Care,Mercy Aged and Community Care Ltd,Charitable,-38.1378434,144.3367236
Calvary Silver Circle,3204,Home Care,Calvary Community Care,Religious,-37.933041,145.036555
Calvary Community Care,3840,Home Care,Calvary Community Care,Religious,-38.2368078,146.3994152
Cann Valley Bush Nursing Centre,3890,Home Care,Cann Valley Bush Nursing Centre Inc,Community Based,-37.563873,149.151533
Cann Valley Bush Nursing Centre Inc,3890,Home Care,Cann Valley Bush Nursing Centre Inc,Community Based,-37.563873,149.151533
Care Connect  - Housing Linked,3039,Home Care,Care Connect Ltd,Charitable,-37.766487,144.924223
Care Connect  - Total Western Metro General Packages,3039,Home Care,Care Connect Ltd,Charitable,-37.766487,144.924223
Care Connect - Eastern Metro General Packages,3108,Home Care,Care Connect Ltd,Charitable,-37.787312,145.123817
Care Connect - Eastern Metro General Packages,3108,Home Care,Care Connect Ltd,Charitable,-37.787312,145.123817
Care Connect - Eastern Metro General Packages,3108,Home Care,Care Connect Ltd,Charitable,-37.787312,145.123817
Care Connect - General West Metro,3039,Home Care,Care Connect Ltd,Charitable,-37.766487,144.924223
Care Connect - Northern EACH,3039,Home Care,Care Connect Ltd,Charitable,-37.766487,144.924223
Care Connect - Southern Region EACHD Services,3187,Home Care,Care Connect Ltd,Charitable,-37.902005,145.01883
Care Connect CACP Service - Northern Region,3039,Home Care,Care Connect Ltd,Charitable,-37.766487,144.924223
Care Connect CACP Service - Southern Region,3187,Home Care,Care Connect Ltd,Charitable,-37.902005,145.01883
Care Connect Western Region EACH Services,3039,Home Care,Care Connect Ltd,Charitable,-37.766487,144.924223
BHCG Case Management Services,3450,Home Care,Bendigo Health Care Group,State Government,-37.054127,144.211698
Catholic Homes EACH - (Inner Eastern Metro),3810,Home Care,Villa Maria Catholic Homes Limited,Charitable,-38.07510229,145.4803444
Catholic Homes Flexible Options,3810,Home Care,Villa Maria Catholic Homes Limited,Charitable,-38.07510229,145.4803444
Catholic Homes Flexible Options Outer Eastern Metropolitan (CACPs),3810,Home Care,Villa Maria Catholic Homes Limited,Charitable,-38.07510229,145.4803444
Caulfield Community Health Service,3162,Home Care,Alfred Health,State Government,-37.88440165,145.015475
CCSSCI CACPs Northern,3108,Home Care,Chinese Community Social Services Centre Inc,Community Based,-37.787213,145.131436
CCSSCI CACPs Southern,3108,Home Care,Chinese Community Social Services Centre Inc,Community Based,-37.787213,145.131436
CELAS Community Aged Care Packages,3012,Home Care,United-Spanish Latin American Welfare Centre Inc.,Community Based,-37.778731,144.875602
Central Grampians Community Care Options,3380,Home Care,Grampians Community Health,State Government,-37.05618241,142.7839512
Central Grampians Community Care Options,3380,Home Care,Grampians Community Health,State Government,-37.05618241,142.7839512
Central Grampians Community Support Options,3380,Home Care,Grampians Community Health,State Government,-37.05618241,142.7839512
mecwacare Home Care Packages 2 (Southern Metro Region),3144,Home Care,MECWA,Community Based,-37.852367,145.036581
mecwacare Home Care Packages 3 (Southern Metro Region),3144,Home Care,MECWA,Community Based,-37.852367,145.036581
mecwacare Home Care Packages 4 (Southern Metro Region),3144,Home Care,MECWA,Community Based,-37.852367,145.036581
City Of Hobsons Bay - General,3018,Home Care,Hobsons Bay City Council,Local Government,-37.86385082,144.825089
City Of Hobsons Bay - Housing Linked,3018,Home Care,Hobsons Bay City Council,Local Government,-37.86385082,144.825089
City of Melbourne Community Aged Care Package (CACP) Program,3000,Home Care,The City of Melbourne,Local Government,-37.8147902,144.9665643
City Of Moonee Valley Care Packages,3039,Home Care,Moonee Valley City Council,Local Government,-37.764118,144.925021
Co.As.It Community Care Packages-Barwon South Western,3053,Home Care,CO.AS.IT. - Italian Assistance Association,Charitable,-37.79897491,144.9681402
Co.As.It Community Care Packages-Hume Region,3678,Home Care,CO.AS.IT. - Italian Assistance Association,Charitable,-36.333371,146.290884
Co.As.It. Eastern Metro Community Care Packages,3053,Home Care,CO.AS.IT. - Italian Assistance Association,Charitable,-37.79897491,144.9681402
CO.AS.IT. Italian Assistance Association - EACH - Northern Region,3053,Home Care,CO.AS.IT. - Italian Assistance Association,Charitable,-37.79897491,144.9681402
CO.AS.IT. Italian Assistance Association - EACH - Western Metro,3053,Home Care,CO.AS.IT. - Italian Assistance Association,Charitable,-37.79897491,144.9681402
Co.As.It. Northern Metro Region Care Packages Project,3053,Home Care,CO.AS.IT. - Italian Assistance Association,Charitable,-37.79897491,144.9681402
Co.As.It. Southern Metro Region Care Packages Project,3053,Home Care,CO.AS.IT. - Italian Assistance Association,Charitable,-37.79897491,144.9681402
Co.As.It. Western Metro Region Care Packages Project,3053,Home Care,CO.AS.IT. - Italian Assistance Association,Charitable,-37.79897491,144.9681402
Cobden - Abbeyfield Rural Community Aged Care,3266,Home Care,Cobden District Health Services Inc,Community Based,-38.332235,143.0763
Cobden - Abbeyfield Rural Community Extended Aged Care,3266,Home Care,Cobden District Health Services Inc,Community Based,-38.332235,143.0763
Cobden District Health Service Inc,3266,Home Care,Cobden District Health Services Inc,Community Based,-38.332235,143.0763
Cobram District Community Health Centre EACH,3644,Home Care,Cobram District Health,State Government,-35.915888,145.651291
Cobram District Hospital - CACP,3644,Home Care,Cobram District Health,State Government,-35.91652979,145.6510927
Community & Integrated Care Division - Hume - EACH Dementia,3630,Home Care,Goulburn Valley Health,State Government,-36.378821,145.404146
Community & Integrated Care Division - Hume EACH,3630,Home Care,Goulburn Valley Health,State Government,-36.378821,145.404146
Australian Multicultural Community Services,3012,Home Care,Australian Multicultural Community Services Inc,Community Based,-37.77877161,144.8755251
Community Aged Care Program - General,3011,Home Care,Wintringham,Charitable,-37.8063073,144.8902144
Community Care Services Victoria (Southern Region EACH),3171,Home Care,Community Care Services Victoria Pty Ltd,Private Incorporated Body,-37.94141474,145.1624137
Community Care Services Victoria (Southern Region EACHD),3171,Home Care,Community Care Services Victoria Pty Ltd,Private Incorporated Body,-37.94141474,145.1624137
Community Care Services Victoria Pty Ltd,3171,Home Care,Community Care Services Victoria Pty Ltd,Private Incorporated Body,-37.94141474,145.1624137
Community Interlink,3630,Home Care,Goulburn Valley Health,State Government,-36.378821,145.404146
Aged and Disability Services - Wangaratta Rural City Council,3677,Home Care,Wangaratta Rural City Council,Local Government,-36.35489258,146.323683
Aged and Disability Services - Wangaratta Rural City Council,3677,Home Care,Wangaratta Rural City Council,Local Government,-36.35489258,146.323683
Aged and Disability Services - Wangaratta Rural City Council,3677,Home Care,Wangaratta Rural City Council,Local Government,-36.35489258,146.323683
Aged and Disability Services - Wangaratta Rural City Council,3677,Home Care,Wangaratta Rural City Council,Local Government,-36.35489258,146.323683
Aged and Disability Services - Wangaratta Rural City Council,3677,Home Care,Wangaratta Rural City Council,Local Government,-36.35489258,146.323683
Aged and Disability Services - Wangaratta Rural City Council,3677,Home Care,Wangaratta Rural City Council,Local Government,-36.35489258,146.323683
Community Support Options Community Aged Care Packages,3171,Home Care,Monash Health,State Government,-37.952596,145.151085
Community Support Options General Community Aged Care Packages,3175,Home Care,Monash Health,State Government,-37.987147,145.212349
Community Support Options Housing Linked Community Aged Care Packages,3171,Home Care,Monash Health,State Government,-37.952596,145.151085
Cooinda Village Care Packages,3672,Home Care,Cooinda Village Inc,Community Based,-36.55644462,145.9976916
Dhauward - Wurrung ATSI CACPS,3305,Home Care,Dhauwurd-Wurrung Elderly and Community Health Service Inc.,Community Based,-38.35771009,141.613101
MiCare Home Care services Southern Metro,3201,Home Care,MiCare Ltd,Community Based,-38.0889427,145.1816201
MiCare Home Care services South East,3137,Home Care,MiCare Ltd,Community Based,-37.8083999,145.3270589
MiCare Home Care services Gippsland 2,3840,Home Care,MiCare Ltd,Community Based,-38.23496,146.399284
EACH Barwon South Western,3218,Home Care,Mercy Aged and Community Care Ltd,Charitable,-38.1378434,144.3367236
EACH Ltd CACP Service,3134,Home Care,EACH,State Government,-37.809,145.230779
EACHD Barwon South Western,3218,Home Care,Mercy Aged and Community Care Ltd,Charitable,-38.1378434,144.3367236
Eastern Metro Care Packages Project,3169,Home Care,Fronditha Care,Community Based,-37.936301,145.108106
Baptcare - Eastern HCP 4,3134,Home Care,Baptcare Ltd,Religious,-37.81605408,145.2237876
Eastern Metropolitan Region,3137,Home Care,Australian Unity Retirement Living Management Pty Ltd,Private Incorporated Body,-37.8056764,145.3098247
MiCare Home Care Services Eastern Region,3137,Home Care,MiCare Ltd,Community Based,-37.807706,145.325998
"Elders, HACC & Disability Service EACH",3875,Home Care,Gippsland & East Gippsland Aboriginal Co-operative Ltd,Community Based,-37.82951078,147.62799
St Vincent's Care Services Northern Melbourne Home Care,3095,Home Care,St Vincent's Care Services Ltd.,Religious,-37.71218754,145.145762
Fairview Community Care,3820,Home Care,Fairview Village Limited,Community Based,-38.17473195,145.9288754
Filipino CACP Program,3011,Home Care,Filipino Community Council of Victoria Inc,Community Based,-37.804272,144.903311
Filipino CACP Program - Western Metro Region,3011,Home Care,Filipino Community Council of Victoria Inc,Community Based,-37.804272,144.903311
Catholic Homes - Flexible Options,3350,Home Care,Villa Maria Catholic Homes Limited,Charitable,-37.6241997,143.883811
Catholic Homes - Flexible Options,3152,Home Care,Villa Maria Catholic Homes Limited,Charitable,-37.8710103,145.2337086
Catholic Homes - Flexible Options - EACH - Northern Metropolitan,3152,Home Care,Villa Maria Catholic Homes Limited,Charitable,-37.8710103,145.2337086
Catholic Homes - Flexible Options - EACH - Western Metropolitan,3350,Home Care,Villa Maria Catholic Homes Limited,Charitable,-37.6241997,143.883811
Flexihealth Community Aged Care Program (ATSI),3925,Home Care,Bass Coast Health - Duplicate of NAPS 1542,State Government,-38.526943,145.371543
Flexihealth Community Aged Care Program (Rural),3925,Home Care,Bass Coast Health - Duplicate of NAPS 1542,State Government,-38.526943,145.371543
Flexihealth Community Aged Care Program HLCPS,3925,Home Care,Bass Coast Health - Duplicate of NAPS 1542,State Government,-38.526943,145.371543
Gippsland & East Gippsland Aboriginal Co-operative Community Aged Care Service,3875,Home Care,Gippsland & East Gippsland Aboriginal Co-operative Ltd,Community Based,-37.82951078,147.62799
Gippsland CACPs,3909,Home Care,Anglican Aged Care Services Group,Religious,-37.88092344,147.9859014
Gippsland Lakes Community Health,3909,Home Care,Gippsland Lakes Community Health,State Government,-37.87432459,147.998209
Baptcare - Gippsland HCP 4,3950,Home Care,Baptcare Ltd,Religious,-38.432645,145.824121
Gladswood,3019,Home Care,Anglican Aged Care Services Group,Religious,-37.7906728,144.8621279
Greater Shepparton City Council Home Care Packages,3630,Home Care,Greater Shepparton City Council,Local Government,-36.377759,145.398255
Goulburn Valley Community Options,3630,Home Care,Goulburn Valley Health,State Government,-36.378821,145.404146
Goulburn Valley Community Options,3630,Home Care,Goulburn Valley Health,State Government,-36.378821,145.404146
Grampians CACPs,3392,Home Care,Anglican Aged Care Services Group,Religious,-36.45797181,142.5947669
Grange Residential Aged Care Service - ATSI CACPS,3300,Home Care,Western District Health Service,State Government,-37.74611733,142.0184299
Greater Geelong City Council,3220,Home Care,Greater Geelong City Council,Local Government,-38.14719449,144.3650437
Greek Care CACP Service,3056,Home Care,Australian Greek Welfare Society Ltd,Community Based,-37.774272,144.959745
Hesse Rural Health Service (HRHS),3241,Home Care,Hesse Rural Health Service,State Government,-38.243425,143.9849397
Hume City Council CACP Services,3047,Home Care,Hume City Council,Local Government,-37.682812,144.918662
Community Interlink North - Level 2,3630,Home Care,Goulburn Valley Health,State Government,-36.378821,145.404146
Commmunity Interlink North - Level 4,3630,Home Care,Goulburn Valley Health,State Government,-36.378821,145.404146
Hurlingham,3161,Home Care,Anglican Aged Care Services Group,Religious,-37.865573,145.023296
In Good Hands....CACP,3058,Home Care,Merri Health,State Government,-37.7448387,144.9661881
IPC HEALTH LTD,3038,Home Care,IPC Health Ltd,Community Based,-37.7000966,144.7741088
Jewish Care (Victoria) Inc (EACH) - Eastern Metro,3004,Home Care,Jewish Care (Victoria) Inc,Religious,-37.85287943,144.9820498
Jewish Care (Victoria) Inc (EACH-D) - Eastern Metropolitan,3004,Home Care,Jewish Care (Victoria) Inc,Religious,-37.85287943,144.9820498
Karingal Community Living,3216,Home Care,Karingal Inc,Charitable,-38.1653012,144.347189
Karingal Community Living - EACH,3216,Home Care,Karingal Inc,Charitable,-38.165302,144.347188
Kesher (Jewish Community Services) Care Packages Project,3004,Home Care,Jewish Care (Victoria) Inc,Religious,-37.85287943,144.9820498
Kesher EACH,3004,Home Care,Jewish Care (Victoria) Inc,Religious,-37.85287943,144.9820498
Kesher EACH Program - Southern Metro,3004,Home Care,Jewish Care (Victoria) Inc,Religious,-37.85287943,144.9820498
Kesher EACHD,3004,Home Care,Jewish Care (Victoria) Inc,Religious,-37.85287943,144.9820498
KinCare CACP - Eastern Metropolitan,3168,Home Care,KinCare Health Services Pty Ltd,Private Incorporated Body,-37.90002475,145.1301906
Kincare CACP - Northern Metropolitan,3168,Home Care,KinCare Health Services Pty Ltd,Private Incorporated Body,-37.90002475,145.1301906
KinCare CACP - Southern Metropolitan,3168,Home Care,KinCare Health Services Pty Ltd,Private Incorporated Body,-37.90002475,145.1301906
KinCare CACP - Western Metropolitan,3168,Home Care,KinCare Health Services Pty Ltd,Private Incorporated Body,-37.90002475,145.1301906
KinCare EACH - Eastern Metropolitan,3168,Home Care,KinCare Health Services Pty Ltd,Private Incorporated Body,-37.90002475,145.1301906
Kyabram CACPs,3629,Home Care,Anglican Aged Care Services Group,Religious,-36.39482663,145.3602938
Latrobe Home Care Packages Gippsland Level 2,3840,Home Care,Latrobe Community Health Service,State Government,-38.2358326,146.4000861
Latrobe Home Care Packages Gippsland Koorie Level 2,3840,Home Care,Latrobe Community Health Service,State Government,-38.2358326,146.4000861
Latrobe Home Care Packages Gippsland Level 3,3840,Home Care,Latrobe Community Health Service,State Government,-38.2358326,146.4000861
Latrobe Home Care Packages Gippsland Level 4,3840,Home Care,Latrobe Community Health Service,State Government,-38.2358326,146.4000861
Lifestyle Aged Care Services (Eastern Metropolitan),3126,Home Care,Lifestyle Aged Care Services Pty Ltd,Private Incorporated Body,-37.823849,145.081046
Lifestyle Aged Care Services (Southern Metropolitan),3192,Home Care,Lifestyle Aged Care Services Pty Ltd,Private Incorporated Body,-37.962096,145.037797
integratedliving Loddon Mallee,3550,Home Care,Integratedliving Australia Ltd,Community Based,-36.74479609,144.2654493
Loddon Mallee Community Programs,3500,Home Care,The Uniting Church in Australia Property Trust (Victoria),Religious,-34.184104,142.144289
Baptcare - Loddon HCP 4,3083,Home Care,Baptcare Ltd,Religious,-37.683701,145.069212
Loddon-Mallee Indigenous CACP Service,3564,Home Care,Care Connect Ltd,Charitable,-36.12513988,144.7497381
Lyndoch ATSI CACPs,3280,Home Care,Lyndoch Living Inc.,Community Based,-38.396761,142.506861
Lyndoch Community Options,3280,Home Care,Lyndoch Living Inc.,Community Based,-38.396761,142.506861
Lyndoch Community Options-Barwon South Western-ATSI,3280,Home Care,Lyndoch Living Inc.,Community Based,-38.396761,142.506861
Lyndoch Community Options-Barwon South Western-General,3280,Home Care,Lyndoch Living Inc.,Community Based,-38.396761,142.506861
Lyndoch Community Options-Barwon South Western-Housing Linked,3280,Home Care,Lyndoch Living Inc.,Community Based,-38.396761,142.506861
Lyndoch EACH,3280,Home Care,Lyndoch Living Inc.,Community Based,-38.396761,142.506861
Lyndoch EACH & EACH Dementia,3280,Home Care,Lyndoch Living Inc.,Community Based,-38.396761,142.506861
"Lyndoch, Warrnambool Inc Care Packages",3280,Home Care,Lyndoch Living Inc.,Community Based,-38.396761,142.506861
Mallacoota District Health & Support Service CACP Project,3892,Home Care,Mallacoota District Health & Support Service Inc,Community Based,-37.558855,149.750699
MannaCare Inc.,3108,Home Care,MannaCare Inc.,Community Based,-37.77597034,145.1182529
MannaCare Inc,3108,Home Care,MannaCare Inc.,Community Based,-37.77597034,145.1182529
MannaCare Inc.,3108,Home Care,MannaCare Inc.,Community Based,-37.77597034,145.1182529
mecwacare Home Care Packages 1 (Southern Metro Region),3144,Home Care,MECWA,Community Based,-37.852367,145.036581
Mercy Home & Community Care - CACP Southern,3204,Home Care,Mercy Aged and Community Care Ltd,Charitable,-37.912036,145.042585
Mercy Home & Community Care - EACH - Eastern,3204,Home Care,Mercy Aged and Community Care Ltd,Charitable,-37.912036,145.042585
Mercy Home & Community Care - EACH Southern,3204,Home Care,Mercy Aged and Community Care Ltd,Charitable,-37.912036,145.042585
Mercy Home & Community Care - EACHD Southern,3204,Home Care,Mercy Aged and Community Care Ltd,Charitable,-37.912036,145.042585
Mercy Home and Community Care,3204,Home Care,Mercy Aged and Community Care Ltd,Charitable,-37.912036,145.042585
Mihealth Community Care Program,3931,Home Care,Peninsula Health,State Government,-38.221123,145.04503
Mooroopna CACPs,3629,Home Care,Anglican Aged Care Services Group,Religious,-36.39482663,145.3602938
Moyne Health Services,3284,Home Care,Moyne Health Services,State Government,-38.384419,142.227409
Multicultural Aged Care Services Geelong - CACPs,3215,Home Care,Multicultural Aged Care Services Geelong Inc,Community Based,-38.12586399,144.347895
Multicultural Aged Care Services Geelong Inc - EACH Dementia,3215,Home Care,Multicultural Aged Care Services Geelong Inc,Community Based,-38.12586399,144.347895
Multicultural Aged Care Services Geelong Inc - EACH Packages,3215,Home Care,Multicultural Aged Care Services Geelong Inc,Community Based,-38.12586399,144.347895
Commmunity Interlink South - Level 2,3630,Home Care,Goulburn Valley Health,State Government,-36.378821,145.404146
Commmunity Interlink South - Level 4,3630,Home Care,Goulburn Valley Health,State Government,-36.378821,145.404146
Nextt Eastern CACP Program,3000,Home Care,AAA Nextt Group Pty Ltd,Private Incorporated Body,-37.81792911,144.9573396
Nextt Northern CACP Program,3000,Home Care,AAA Nextt Group Pty Ltd,Private Incorporated Body,-37.81792911,144.9573396
Nextt Southern CACP Program,3000,Home Care,AAA Nextt Group Pty Ltd,Private Incorporated Body,-37.81792911,144.9573396
Northern Community Services - EACH,3152,Home Care,Villa Maria Catholic Homes Limited,Charitable,-37.8710103,145.2337086
Northern Metro Care Packages Project,3071,Home Care,Fronditha Care,Community Based,-37.764523,145.020785
Northern Victoria Community Services (Hume) - EACH,3630,Home Care,Villa Maria Catholic Homes Limited,Charitable,-36.38750001,145.4274956
"Northern Victoria Community Services (Riverina) - EACH, Villa Maria",3564,Home Care,Villa Maria Catholic Homes Limited,Charitable,-36.38750001,145.4274956
Northern Victoria Community Services (Riverina) - EACHD,3564,Home Care,Villa Maria Catholic Homes Limited,Charitable,-36.38750001,145.4274956
Outer East Neighbourhood CACP,3136,Home Care,Apto Group Pty Ltd,Private Incorporated Body,-37.803836,145.265999
Outer Northern Community Options,3095,Home Care,Nillumbik Community Health Service Ltd,State Government,-37.71461385,145.1480046
Partners In Care - General,3175,Home Care,RusCare Ltd,Religious,-37.9967747,145.2028868
Partners In Care - Non English Speaking Background,3175,Home Care,RusCare Ltd,Religious,-37.9967747,145.2028868
Polish Community Council Of Victoria Inc Care Packages Project: East And South Metro Regions,3166,Home Care,Polish Community Council of Victoria Inc,Charitable,-37.89911,145.087838
Prahran Mission UnitingCare - CACP Project,3141,Home Care,Uniting (Victoria and Tasmania),Charitable,-37.845312,144.999632
RDNS Community Care Eastern Melbourne,3129,Home Care,Royal District Nursing Service Limited,Charitable,-37.796942,145.118874
RDNS Community Care Eastern Melbourne - EACH,3129,Home Care,Royal District Nursing Service Limited,Charitable,-37.796942,145.118874
RDNS Community Care Southern Melbourne,3161,Home Care,Royal District Nursing Service Limited,Charitable,-37.87053378,145.0181396
Regis Care (Loddon-Mallee Region - EACH),3500,Home Care,Regis Group Pty Ltd,Private Incorporated Body,-34.18734659,142.1553108
Regis Care - LMR,3500,Home Care,Regis Group Pty Ltd,Private Incorporated Body,-34.18734659,142.1553108
Royal District Nursing Service,3025,Home Care,Royal District Nursing Service Limited,Charitable,-37.841638,144.841697
Royal District Nursing Service - EACH - WMR,3025,Home Care,Royal District Nursing Service Limited,Charitable,-37.841638,144.841697
Royal District Nursing Service - EACHD - WMR,3025,Home Care,Royal District Nursing Service Limited,Charitable,-37.841638,144.841697
Royal Freemasons Ltd Outreach Program (EACH) - Eastern,3149,Home Care,Royal Freemasons Ltd,Charitable,-37.900663,145.141459
